Siêu thị,orders,avg_time,median_time,sla_rate,avg_profit,cluster
CM Bình Triệu,107,43.030793650793655,37.916666666666664,0.3177570093457944,1297336.1214953272,2
CM Bình Tân,239,139.81448663853726,116.35,0.0794979079497908,1354100.4142259415,1
CM Bình Tân 2,49,39.949122807017545,19.116666666666667,0.5306122448979592,1144685.612244898,2
CM Chu Văn An,170,39.966470588235296,23.725,0.7176470588235294,1146375.017647059,2
CM Cần Giờ,107,15.640031152647975,9.216666666666667,0.9065420560747663,1225164.1588785048,2
CM Củ Chi,86,99.2013565891473,32.375,0.46511627906976744,1946204.6744186047,2
CM Foodcosa,191,67.41648841354724,41.2,0.3769633507853403,1760608.67539267,2
CM Hiệp Thành,55,70.03121212121212,44.733333333333334,0.34545454545454546,1341323.3454545455,2
CM Huỳnh Tấn Phát,373,90.28657657657658,53.30833333333334,0.24664879356568364,1816337.959785523,1
CM Hòa Bình,290,71.4984429065744,40.43333333333333,0.3793103448275862,1319873.5862068965,1
CM Hóc Môn,18,70.64351851851852,39.65833333333333,0.4444444444444444,1329963.0555555555,2
CM Hùng Vương,210,387.6652845528455,102.86666666666666,0.12857142857142856,1641177.6238333334,0
CM Hậu Giang,258,217.59489664082687,66.95833333333334,0.34108527131782945,884082.992248062,1
CM Lý Thường Kiệt,533,108.74946439823566,72.46666666666667,0.17448405253283303,1343670.3602251408,1
CM Nguyễn Bình,78,32.060683760683766,38.31666666666666,0.3076923076923077,1340231.5512820513,2
CM Nguyễn Đình Chiểu,684,103.8758382642998,64.06666666666666,0.23538011695906433,1827328.432748538,1
CM Nguyễn Ảnh Thủ,168,493.1478527607362,171.05,0.24404761904761904,2424203.613095238,0
CM Nhiêu Lộc,415,58.28398533007336,41.15,0.38072289156626504,1493225.9012048193,1
CM Phan Văn Hớn,154,173.9360745614035,70.76666666666667,0.2987012987012987,1714146.7792207792,1
CM Phan Văn Trị,155,456.238064516129,473.76666666666665,0.06451612903225806,1221556.3290322581,0
CM Phú Thọ,313,176.03210470085472,78.69166666666666,0.13099041533546327,1381527.0638977636,1
CM Rạch Miễu,565,269.0732196289647,125.28333333333333,0.1079646017699115,1331910.0530973452,1
CM Thắng Lợi - Trường Chinh,138,172.24963235294118,95.38333333333334,0.10869565217391304,1777176.384057971,1
CM Tuy Lý Vương,215,55.58597756410256,50.325,0.2,1030765.7488372093,1
CM Văn Thánh,234,71.74258443465492,39.11666666666667,0.2777777777777778,1203245.9401709402,1
CM Vĩnh Lộc B,8,203.77500000000003,34.19166666666666,0.5,3590522.375,0
CM Đồng Văn Cống,79,87.9969696969697,47.36666666666667,0.3670886075949367,1165856.3544303798,2
CM Đỗ Văn Dậy,15,42.195238095238096,34.34166666666667,0.3333333333333333,969360.8,2
CX Linh Trung,255,129.63545953360767,66.3,0.27058823529411763,2079259.0235294118,1
CX Sư Vạn Hạnh,383,141.1427536231884,101.325,0.09921671018276762,1549818.90078329,1
